"GEO_ID","NAME","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish or Spanish Creole","Margin of Error!!Total!!Spanish or Spanish Creole","Estimate!!Total!!French (including Patois, Creole, Cajun)","Margin of Error!!Total!!French (including Patois, Creole, Cajun)","Estimate!!Total!!German or other West Germanic languages","Margin of Error!!Total!!German or other West Germanic languages","Estimate!!Total!!Slavic languages","Margin of Error!!Total!!Slavic languages","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Chinese","Margin of Error!!Total!!Chinese","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Tagalog","Margin of Error!!Total!!Tagalog","Estimate!!Total!!Other Asian and Pacific Island languages","Margin of Error!!Total!!Other Asian and Pacific Island languages","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages"
"0500000US51179","Stafford County, Virginia","131157","209","114524","1943","10744","1584","382","347","408","358","111","187","2783","1330","543","496","100","97","263","326","598","407","163","192","538","624"
"0500000US51199","York County, Virginia","62283","757","55086","1644","2611","807","253","220","1277","986","0","195","1147","715","1086","693","329","298","62","106","49","86","294","311","89","155"
"0500000US51510","Alexandria city, Virginia","139187","129","97240","4007","16110","2437","2126","990","535","349","517","335","5932","1766","1185","697","858","506","377","410","1230","899","1541","910","11536","2605"
"0500000US51550","Chesapeake city, Virginia","219043","265","203664","2277","6934","1407","995","661","424","321","635","463","1153","722","78","100","651","531","110","180","3037","837","287","238","1075","1225"
"0500000US51650","Hampton city, Virginia","128371","677","117840","1728","4664","1228","258","171","899","526","254","302","687","637","0","195","84","101","1250","753","897","616","540","723","998","1001"
"0500000US51700","Newport News city, Virginia","169759","215","152099","2166","8814","1632","864","499","1201","717","414","343","1493","825","622","426","202","177","1427","1338","581","417","1123","756","919","548"
"0500000US51710","Norfolk city, Virginia","228427","68","203462","2329","11308","1623","1153","572","1044","569","674","427","1607","622","162","153","1088","550","1006","668","3919","881","826","390","2178","1126"
"0500000US51760","Richmond city, Virginia","204340","211","182752","2202","11458","885","1595","740","776","427","227","229","2106","1035","719","379","1041","700","279","208","222","194","585","464","2580","1723"
"0500000US51810","Virginia Beach city, Virginia","420962","215","373200","3047","19986","2395","1127","665","1339","463","1443","624","5500","1469","306","238","2213","787","1191","658","11245","1513","1984","926","1428","765"
"0500000US53005","Benton County, Washington","173104","635","137407","2755","26626","2202","170","167","302","227","2697","1579","448","361","139","201","1190","884","1400","1547","441","469","329","185","1955","1096"
"0500000US53011","Clark County, Washington","422092","300","361112","4158","23342","2686","933","604","1458","608","15294","3486","5302","1702","1201","720","2397","959","1712","1029","2324","993","5848","1541","1169","806"
"0500000US53029","Island County, Washington","74655","445","69459","1128","1821","687","430","353","237","210","175","239","295","366","0","193","241","178","0","193","926","490","852","633","219","221"
"0500000US53033","King County, Washington","1951660","*****","1437334","14705","131732","7226","11887","2896","12056","2337","38849","4828","69760","8248","20245","3676","63411","5574","34042","4976","26314","3977","63947","6714","42083","5357"
"0500000US53035","Kitsap County, Washington","240348","449","222506","2721","5807","1371","1129","748","555","274","398","265","1361","1064","422","274","448","295","626","604","4956","1383","1637","695","503","368"
"0500000US53053","Pierce County, Washington","774639","*****","659016","6814","46103","4090","1624","568","6350","1599","10034","3261","6520","2389","9023","2254","3196","1455","6119","1810","7231","1805","16380","3268","3043","1121"
